"region"	"age"	"Persons 2020"
"K-3001 Halden"	"0 years"	256
"K-3001 Halden"	"1 year"	256
"K-3001 Halden"	"2 years"	322
"K-3001 Halden"	"3 years"	321
"K-3001 Halden"	"4 years"	320
"K-3001 Halden"	"5 years"	324
"K-3001 Halden"	"6 years"	350
"K-3001 Halden"	"7 years"	330
"K-3001 Halden"	"8 years"	341
"K-3001 Halden"	"9 years"	378
"K-3001 Halden"	"10 years"	371
"K-3001 Halden"	"11 years"	400
"K-3001 Halden"	"12 years"	384
"K-3001 Halden"	"13 years"	364
"K-3001 Halden"	"14 years"	347
"K-3001 Halden"	"15 years"	406
"K-3001 Halden"	"16 years"	373
"K-3001 Halden"	"17 years"	377
"K-3001 Halden"	"18 years"	392
"K-3001 Halden"	"19 years"	376
"K-3001 Halden"	"20 years"	388
"K-3001 Halden"	"21 years"	364
"K-3001 Halden"	"22 years"	389
"K-3001 Halden"	"23 years"	415
"K-3001 Halden"	"24 years"	380
"K-3001 Halden"	"25 years"	384
"K-3001 Halden"	"26 years"	361
"K-3001 Halden"	"27 years"	366
"K-3001 Halden"	"28 years"	380
"K-3001 Halden"	"29 years"	432
"K-3001 Halden"	"30 years"	380
"K-3001 Halden"	"31 years"	366
"K-3001 Halden"	"32 years"	346
"K-3001 Halden"	"33 years"	383
"K-3001 Halden"	"34 years"	374
"K-3001 Halden"	"35 years"	393
"K-3001 Halden"	"36 years"	331
"K-3001 Halden"	"37 years"	357
"K-3001 Halden"	"38 years"	351
"K-3001 Halden"	"39 years"	386
"K-3001 Halden"	"40 years"	373
"K-3001 Halden"	"41 years"	395
"K-3001 Halden"	"42 years"	408
"K-3001 Halden"	"43 years"	408
"K-3001 Halden"	"44 years"	398
"K-3001 Halden"	"45 years"	416
"K-3001 Halden"	"46 years"	415
"K-3001 Halden"	"47 years"	454
"K-3001 Halden"	"48 years"	456
"K-3001 Halden"	"49 years"	441
"K-3001 Halden"	"50 years"	429
"K-3001 Halden"	"51 years"	493
"K-3001 Halden"	"52 years"	459
"K-3001 Halden"	"53 years"	459
"K-3001 Halden"	"54 years"	483
"K-3001 Halden"	"55 years"	406
"K-3001 Halden"	"56 years"	408
"K-3001 Halden"	"57 years"	422
"K-3001 Halden"	"58 years"	394
"K-3001 Halden"	"59 years"	408
"K-3001 Halden"	"60 years"	395
"K-3001 Halden"	"61 years"	398
"K-3001 Halden"	"62 years"	378
"K-3001 Halden"	"63 years"	404
"K-3001 Halden"	"64 years"	397
"K-3001 Halden"	"65 years"	372
"K-3001 Halden"	"66 years"	405
"K-3001 Halden"	"67 years"	318
