"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2022"
"030100aa Oslo total";"0 years";9137
"030100aa Oslo total";"1 year";8119
"030100aa Oslo total";"2 years";7891
"030100aa Oslo total";"3 years";7375
"030100aa Oslo total";"4 years";7456
"030100aa Oslo total";"5 years";7418
"030100aa Oslo total";"6 years";7118
"030100aa Oslo total";"7 years";7450
"030100aa Oslo total";"8 years";7087
"030100aa Oslo total";"9 years";7290
"030100aa Oslo total";"10 years";7259
"030100aa Oslo total";"11 years";7235
"030100aa Oslo total";"12 years";7283
"030100aa Oslo total";"13 years";7059
"030100aa Oslo total";"14 years";6970
"030100aa Oslo total";"15 years";6799
"030100aa Oslo total";"16 years";6635
"030100aa Oslo total";"17 years";6536
"030100aa Oslo total";"18 years";6526
"030100aa Oslo total";"19 years";6744
"030100aa Oslo total";"20 years";7437
"030100aa Oslo total";"21 years";8498
"030100aa Oslo total";"22 years";9251
"030100aa Oslo total";"23 years";9952
"030100aa Oslo total";"24 years";11330
"030100aa Oslo total";"25 years";13192
"030100aa Oslo total";"26 years";14495
"030100aa Oslo total";"27 years";15109
"030100aa Oslo total";"28 years";15445
"030100aa Oslo total";"29 years";15813
"030100aa Oslo total";"30 years";15750
"030100aa Oslo total";"31 years";15810
"030100aa Oslo total";"32 years";15235
"030100aa Oslo total";"33 years";14593
"030100aa Oslo total";"34 years";13543
"030100aa Oslo total";"35 years";13031
"030100aa Oslo total";"36 years";12222
"030100aa Oslo total";"37 years";11819
"030100aa Oslo total";"38 years";11197
"030100aa Oslo total";"39 years";10972
"030100aa Oslo total";"40 years";10578
"030100aa Oslo total";"41 years";10631
"030100aa Oslo total";"42 years";10044
"030100aa Oslo total";"43 years";9725
"030100aa Oslo total";"44 years";9416
"030100aa Oslo total";"45 years";9423
"030100aa Oslo total";"46 years";9458
"030100aa Oslo total";"47 years";9431
"030100aa Oslo total";"48 years";9087
"030100aa Oslo total";"49 years";9154
"030100aa Oslo total";"50 years";9004
"030100aa Oslo total";"51 years";8730
"030100aa Oslo total";"52 years";8587
"030100aa Oslo total";"53 years";8279
"030100aa Oslo total";"54 years";8014
"030100aa Oslo total";"55 years";7971
"030100aa Oslo total";"56 years";7815
"030100aa Oslo total";"57 years";7645
"030100aa Oslo total";"58 years";7294
"030100aa Oslo total";"59 years";6967
"030100aa Oslo total";"60 years";6675
"030100aa Oslo total";"61 years";6686
"030100aa Oslo total";"62 years";6345
"030100aa Oslo total";"63 years";6250
"030100aa Oslo total";"64 years";6022
"030100aa Oslo total";"65 years";5738
"030100aa Oslo total";"66 years";5461
"030100aa Oslo total";"67 years";5370
"030100aa Oslo total";"68 years";5083
"030100aa Oslo total";"69 years";4890
"030100aa Oslo total";"70 years";4758
"030100aa Oslo total";"71 years";4646
"030100aa Oslo total";"72 years";4582
"030100aa Oslo total";"73 years";4584
"030100aa Oslo total";"74 years";4598
"030100aa Oslo total";"75 years";4855
"030100aa Oslo total";"76 years";4162
"030100aa Oslo total";"77 years";3950
"030100aa Oslo total";"78 years";3353
"030100aa Oslo total";"79 years";2812
"030100aa Oslo total";"80 years";2242
"030100aa Oslo total";"81 years";2360
"030100aa Oslo total";"82 years";2243
"030100aa Oslo total";"83 years";1936
"030100aa Oslo total";"84 years";1698
"030100aa Oslo total";"85 years";1519
"030100aa Oslo total";"86 years";1385
"030100aa Oslo total";"87 years";1193
"030100aa Oslo total";"88 years";1161
"030100aa Oslo total";"89 years";1066
"030100aa Oslo total";"90 years";947
"030100aa Oslo total";"91 years";886
"030100aa Oslo total";"92 years";698
"030100aa Oslo total";"93 years";537
"030100aa Oslo total";"94 years";422
"030100aa Oslo total";"95 years";369
"030100aa Oslo total";"96 years";308
"030100aa Oslo total";"97 years";228
"030100aa Oslo total";"98 years";155
"030100aa Oslo total";"99 years";98
"030100aa Oslo total";"100 years";64
"030100aa Oslo total";"101 years";54
"030100aa Oslo total";"102 years";27
"030100aa Oslo total";"103 years";13
"030100aa Oslo total";"104 years";12
"030100aa Oslo total";"105 years or older";52
"030101a Gamle Oslo";"0 years";991
"030101a Gamle Oslo";"1 year";815
"030101a Gamle Oslo";"2 years";723
"030101a Gamle Oslo";"3 years";611
"030101a Gamle Oslo";"4 years";596
"030101a Gamle Oslo";"5 years";574
"030101a Gamle Oslo";"6 years";487
"030101a Gamle Oslo";"7 years";533
"030101a Gamle Oslo";"8 years";505
"030101a Gamle Oslo";"9 years";462
"030101a Gamle Oslo";"10 years";488
"030101a Gamle Oslo";"11 years";450
"030101a Gamle Oslo";"12 years";458
"030101a Gamle Oslo";"13 years";424
"030101a Gamle Oslo";"14 years";387
"030101a Gamle Oslo";"15 years";409
"030101a Gamle Oslo";"16 years";345
"030101a Gamle Oslo";"17 years";345
"030101a Gamle Oslo";"18 years";321
"030101a Gamle Oslo";"19 years";400
"030101a Gamle Oslo";"20 years";485
"030101a Gamle Oslo";"21 years";559
"030101a Gamle Oslo";"22 years";672
"030101a Gamle Oslo";"23 years";785
"030101a Gamle Oslo";"24 years";1037
"030101a Gamle Oslo";"25 years";1298
"030101a Gamle Oslo";"26 years";1593
"030101a Gamle Oslo";"27 years";1838
"030101a Gamle Oslo";"28 years";1865
"030101a Gamle Oslo";"29 years";1941
"030101a Gamle Oslo";"30 years";1963
"030101a Gamle Oslo";"31 years";2053
"030101a Gamle Oslo";"32 years";1925
"030101a Gamle Oslo";"33 years";1886
"030101a Gamle Oslo";"34 years";1740
"030101a Gamle Oslo";"35 years";1665
"030101a Gamle Oslo";"36 years";1410
"030101a Gamle Oslo";"37 years";1352
