"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2021"
"030100aa Oslo total";"0 years";8843
"030100aa Oslo total";"1 year";8486
"030100aa Oslo total";"2 years";7875
"030100aa Oslo total";"3 years";7810
"030100aa Oslo total";"4 years";7777
"030100aa Oslo total";"5 years";7451
"030100aa Oslo total";"6 years";7595
"030100aa Oslo total";"7 years";7219
"030100aa Oslo total";"8 years";7385
"030100aa Oslo total";"9 years";7368
"030100aa Oslo total";"10 years";7313
"030100aa Oslo total";"11 years";7330
"030100aa Oslo total";"12 years";7098
"030100aa Oslo total";"13 years";6998
"030100aa Oslo total";"14 years";6765
"030100aa Oslo total";"15 years";6560
"030100aa Oslo total";"16 years";6512
"030100aa Oslo total";"17 years";6425
"030100aa Oslo total";"18 years";6172
"030100aa Oslo total";"19 years";6563
"030100aa Oslo total";"20 years";7624
"030100aa Oslo total";"21 years";8388
"030100aa Oslo total";"22 years";8994
"030100aa Oslo total";"23 years";10102
"030100aa Oslo total";"24 years";11553
"030100aa Oslo total";"25 years";13075
"030100aa Oslo total";"26 years";14122
"030100aa Oslo total";"27 years";14982
"030100aa Oslo total";"28 years";15792
"030100aa Oslo total";"29 years";15993
"030100aa Oslo total";"30 years";16239
"030100aa Oslo total";"31 years";15883
"030100aa Oslo total";"32 years";15236
"030100aa Oslo total";"33 years";14193
"030100aa Oslo total";"34 years";13651
"030100aa Oslo total";"35 years";12720
"030100aa Oslo total";"36 years";12279
"030100aa Oslo total";"37 years";11624
"030100aa Oslo total";"38 years";11345
"030100aa Oslo total";"39 years";10889
"030100aa Oslo total";"40 years";10925
"030100aa Oslo total";"41 years";10307
"030100aa Oslo total";"42 years";9992
"030100aa Oslo total";"43 years";9591
"030100aa Oslo total";"44 years";9608
"030100aa Oslo total";"45 years";9586
"030100aa Oslo total";"46 years";9533
"030100aa Oslo total";"47 years";9215
"030100aa Oslo total";"48 years";9232
"030100aa Oslo total";"49 years";9043
"030100aa Oslo total";"50 years";8873
"030100aa Oslo total";"51 years";8683
"030100aa Oslo total";"52 years";8356
"030100aa Oslo total";"53 years";8075
"030100aa Oslo total";"54 years";8058
"030100aa Oslo total";"55 years";7905
"030100aa Oslo total";"56 years";7775
"030100aa Oslo total";"57 years";7377
"030100aa Oslo total";"58 years";7076
"030100aa Oslo total";"59 years";6762
"030100aa Oslo total";"60 years";6828
"030100aa Oslo total";"61 years";6488
"030100aa Oslo total";"62 years";6358
"030100aa Oslo total";"63 years";6152
"030100aa Oslo total";"64 years";5896
"030100aa Oslo total";"65 years";5617
"030100aa Oslo total";"66 years";5491
"030100aa Oslo total";"67 years";5220
"030100aa Oslo total";"68 years";5028
"030100aa Oslo total";"69 years";4891
"030100aa Oslo total";"70 years";4769
"030100aa Oslo total";"71 years";4713
"030100aa Oslo total";"72 years";4696
"030100aa Oslo total";"73 years";4728
"030100aa Oslo total";"74 years";5019
"030100aa Oslo total";"75 years";4312
"030100aa Oslo total";"76 years";4106
"030100aa Oslo total";"77 years";3510
"030100aa Oslo total";"78 years";2939
"030100aa Oslo total";"79 years";2335
"030100aa Oslo total";"80 years";2487
"030100aa Oslo total";"81 years";2359
"030100aa Oslo total";"82 years";2044
"030100aa Oslo total";"83 years";1833
"030100aa Oslo total";"84 years";1637
"030100aa Oslo total";"85 years";1503
"030100aa Oslo total";"86 years";1325
"030100aa Oslo total";"87 years";1293
